"uniprotkb_canonical_ac","gene_id","gene_name","gene_names_alternative","uniprotkb_protein_recommended_name","glycoenzyme_gene_id","gene_group"
"O00469-1","5352","PLOD2","","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","HCD_M02","Collagen Degradation"
"O60568-1","8985","PLOD3","","Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3","HCD_M03","Collagen Degradation"
"Q3T906-1","79158","GNPTAB","GNPTA;KIAA1208","N-acetylglucosamine-1-phosphotransferase subunits alpha/beta","HMISC_M01","Miscellaneous"
"P10619-1","5476","CTSA","PPGB","Lysosomal protective protein","HMISC_M03","Miscellaneous"
"O75072-1","2218","FKTN","FCMD","Ribitol-5-phosphate transferase FKTN","HMISC_UGT_M01",""
"Q96IV0-1","55768","NGLY1","PNG1","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase","HMISC_UGH_M02",""
"Q9HAT2-1","54414","SIAE","YSG2","Sialate O-acetylesterase","HMISC_UGH_M03",""
"Q9UK23-1","51172","NAGPA","","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","HMISC_UGH_M04",""
"O43766-1","11019","LIAS","LAS","Lipoyl synthase, mitochondrial","HMISC_UGH_M05","Unassigned"
"P02775-1","5473","PPBP","CTAP3;CXCL7;SCYB7;TGB1;THBGB1","Platelet basic protein","HGD_M19","Glycan-degradation"
"Q9NRX4-1","29085","PHPT1","PHP14","14 kDa phosphohistidine phosphatase","HFM_M14","Fructose Metabolism"
"P16118-1","5207","PFKFB1","F6PK;PFRX","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1","HFM_M15","Fructose Metabolism"
"Q8NBN7-1","","RDH13","SDR7C3","Retinol dehydrogenase 13","HFM_M20","Fructose Metabolism"
"P36578-1","6124","RPL4","RPL1","Large ribosomal subunit protein uL4","HRPL4","Housekeeping gene"
"P60709-1","60","ACTB","","Actin, cytoplasmic 1","HBACTIN","Housekeeping gene"
"P04406-1","2597","GAPDH","GAPD","Glyceraldehyde-3-phosphate dehydrogenase","HGAPDH","Housekeeping gene"
"Q9UHI8-1","9510","ADAMTS1","KIAA1346;METH1","A disintegrin and metalloproteinase with thrombospondin motifs 1","ADAMTS_1","ADAMTS"
"O95450-1","9509","ADAMTS2","PCINP;PCPNI","A disintegrin and metalloproteinase with thrombospondin motifs 2","ADAMTS_2","ADAMTS"
"O75173-1","9507","ADAMTS4","KIAA0688","A disintegrin and metalloproteinase with thrombospondin motifs 4","ADAMTS_4","ADAMTS"
"Q9UNA0-1","11096","ADAMTS5","ADAMTS11;ADMP2","A disintegrin and metalloproteinase with thrombospondin motifs 5","ADAMTS_5","ADAMTS"
"Q9UP79-1","11095","ADAMTS8","METH2","A disintegrin and metalloproteinase with thrombospondin motifs 8","ADAMTS_8","ADAMTS"
"Q9P2N4-3","56999","ADAMTS9","KIAA1312","A disintegrin and metalloproteinase with thrombospondin motifs 9","ADAMTS_9","ADAMTS"
"Q9H324-1","81794","ADAMTS10","","A disintegrin and metalloproteinase with thrombospondin motifs 10","ADAMTS_10","ADAMTS"
"Q8TE58-1","170689","ADAMTS15","","A disintegrin and metalloproteinase with thrombospondin motifs 15","ADAMTS_15","ADAMTS"
"P07858-1","1508","CTSB","CPSB","Cathepsin B","CTSB","Cathepsins"
"P07339-1","1509","CTSD","CPSD","Cathepsin D","CTSD","Cathepsins"
"P09668-1","1512","CTSH","CPSB","Pro-cathepsin H","CTSH","Cathepsins"
"P43235-1","1513","CTSK","CTSO;CTSO2","Cathepsin K","CTSK","Cathepsins"
"P25774-1","1520","CTSS","","Cathepsin S","CTSS","Cathepsins"
"P03956-1","4312","MMP1","CLG","Interstitial collagenase","MMP1","Matrix metalloproteinase"
"P01033-1","7076","TIMP1","TIMP;CLGI","Metalloproteinase inhibitor 1","TIMP01","Tissue inhibitor of matrix metalloproteinase"
"P16035-1","7077","TIMP2","","Metalloproteinase inhibitor 2","TIMP02","Tissue inhibitor of matrix metalloproteinase"
"P35625-1","7078","TIMP3","","Metalloproteinase inhibitor 3","TIMP03","Tissue inhibitor of matrix metalloproteinase"
"P01040-1","1475","CSTA","STF1;STFA","Cystatin-A","CSTA","Cystatin (Cysteine protease Inhibitor)"
"P04080-1","1476","CSTB","CST6;STFB","Cystatin-B","CSTB","Cystatin (Cysteine protease Inhibitor)"
"P01034-1","1471","CST3","","Cystatin-C","CSTC","Cystatin (Cysteine protease Inhibitor)"
"P28325-1","1473","CST5","","Cystatin-D","CST5","Cystatin (Cysteine protease Inhibitor)"
"O76096-1","8530","CST7","","Cystatin-F","CST7","Cystatin (Cysteine protease Inhibitor)"
"P01584-1","3553","IL1B","IL1F2","Interleukin-1 beta","IL1B","Inflamation Marker"
"P05231-1","3569","IL6","IFNB2","Interleukin-6","IL6","Inflamation Marker"
"P01375-1","7124","TNF","TNFA;TNFSF2","Tumor necrosis factor","TNFa","Inflamation Marker"
"P18428-1","3929","LBP","","Lipopolysaccharide-binding protein","LBP","LPS Binding Protein"
"P02751-15","2335","FN1","FN","Fibronectin","FN1","GAG core protein"
"P02452-1","1277","COL1A1","","Collagen alpha-1(I) chain","COL1A1","Collagen"
"Q03692-1","1300","COL10A1","","Collagen alpha-1(X) chain","COL10A1","Collagen"
"P39059-1","1306","COL15A1","","Collagen alpha-1(XV) chain","COL15A1","Collagen"
"P22105-3","7148","TNXB","XB;TNX;HXBL;TNXB1;TNXB2","Tenascin-X","TNXB","Tenascin XB (R. Steet)"
"P04004-1","7448","VTN","","Vitronectin","VTN","Vitronectin (R. Steet)"
"P05107-1","3689","ITGB2","CD18;MFI7","Integrin beta-2","ITGB2","Integrin"
"P05556-1","3688","ITGB1","FNRB;MDF2;MSK12","Integrin beta-1","ITGB1","Integrin"
"Q03405-1","5329","PLAUR","MO3;UPAR","Urokinase plasminogen activator surface receptor","PLAUR","Plasminogen activator, Urokinase Receptor (R. Steet)"
"Q8NC51-1","26135","SERBP1","PAIRBP1","SERPINE1 mRNA-binding protein 1","SERPINE1","Serpin peptidase inhibitor, clade E, member 1 (R. Steet)"
"P07996-1","7057","THBS1","TSP1;TSP","Thrombospondin-1","THBS1","GAG core protein"
"P35442-1","7058","THBS2","TSP2","Thrombospondin-2","THBS2","GAG core protein"
"P01579-1","3458","IFNG","","Interferon gamma","INFg","Inflamation Marker"
"Q02817-1","","MUC2","SMUC;MLP","Mucin-2","MUC2","Collaborator Primers"
"P98088-1","","MUC5AC","MUC5","Mucin-5AC","MUC5AC","Collaborator Primers"
"O75072-1","","FKTN","FCMD","Ribitol-5-phosphate transferase FKTN","FKTN","Collaborator Primers"
"Q9Y2B1-1","","RXYLT1","TMEM5","Ribitol-5-phosphate xylosyltransferase 1","TMEM5","Collaborator Primers"
"Q9H5K3-1","","POMK","SGK196","Protein O-mannose kinase","POMK","Collaborator Primers"
"P16591-1","2241","FER","TYK3;Pe1Fe10","Tyrosine-protein kinase Fer","FER","Collaborator Primers"
"P09958-1","5045","FURIN","FUR;PACE;PCSK3","Furin","FURIN","Collaborator Primers"
"A4D126-1","729920","CRPPA","ISPD","D-ribitol-5-phosphate cytidylyltransferase","ISPD","Collaborator Primers"
"Q9HC07-1","55858","TMEM165","TPARL","Putative divalent cation/proton antiporter TMEM165","TMEM165","Collaborator Primers"
"Q8TE99-1","92370","PXYLP1","ACPL2;HEL124;XYLP","2-phosphoxylose phosphatase 1","ACPL2",""
